timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-17 21:55:50,Happy Presidents Day  snograds kids alphabet alphabetdrawings elearning educational dragons kidsplay cartoon art creative drawing kidslearning education edtech iteach homeeducation getcreative eduapp dadlife play invitationtolearn invitationtoplay httpstcoMHBGbDa6mo,SnogradsDragons,"[u'snograds', u'kids', u'alphabet', u'alphabetdrawings', u'elearning', u'educational', u'dragons', u'kidsplay', u'cartoon', u'art', u'creative', u'drawing', u'kidslearning', u'education', u'edtech', u'iteach', u'homeeducation', u'getcreative', u'eduapp', u'dadlife', u'play', u'invitationtolearn', u'invitationtoplay']",5
2020-02-17 21:26:34,Today  Its Mohawk  Tomorrow  Mohammed  Indigenous to Islam  Alphabet to ShariaLaw  IncompatibleIdeology    JJ Books Titles  TheBookOfGood  Participationism ByJJ  RulesALLPeopleCanLiveBy  httpstcoGuKphPQucE,jodijeannine,"[u'Mohawk', u'Mohammed', u'Indigenous', u'Islam', u'Alphabet', u'ShariaLaw', u'IncompatibleIdeology', u'JJ', u'Books', u'Titles', u'TheBookOfGood', u'Participationism', u'ByJJ', u'RulesALLPeopleCanLiveBy']",54229
2020-02-17 21:25:06,Many WWI soldiers like Toms friend Maitland took refuge in drawing These IndianCavalry alphabet booklet cartoons are from a friends collection Some no longer politically correct alas but these two made me smile cartoons Sikhs amanmadra httpstcoBb7EOssBGz httpstcoRTOLr46Xhj,veewalkerwrites,"[u'WWI', u'Maitland', u'IndianCavalry', u'alphabet', u'cartoons', u'Sikhs']",1019
2020-02-17 20:42:30,dantelfer sixth letter first letter seventh letter Alphabet Algorithms,daytonseven,"[u'Alphabet', u'Algorithms']",0
2020-02-17 20:13:33,Dial M for Monday From my Printmaking Alphabet Available here httpstcobDbmx0NFkV letters letterm m artforsale sellingart print printmaking letter letters prints printed book artbook artist artforsaleonline onlineartgallery httpstcokCy924qDqc,georginatalfana,"[u'Monday', u'Printmaking', u'Alphabet', u'letters', u'letterm', u'm', u'artforsale', u'sellingart', u'print', u'printmaking', u'letter', u'letters', u'prints', u'printed', u'book', u'artbook', u'artist', u'artforsaleonline', u'onlineartgallery']",183
2020-02-17 19:44:30,GraceRandolph Oh Grace You didn’t know We as Women are the newnext enemy of the Alphabet community 🙄 First it was about getting accepted Wegotit Supportedit Now it seems they would rather Replace us Women YouandOthersArebeingAttacked 🤔,korenadine,"[u'We', u'Women', u'Alphabet', u'Wegotit', u'Supportedit', u'Replace', u'Women', u'YouandOthersArebeingAttacked']",157
2020-02-17 19:38:14,Will Alphabet Google stock price keep going up Maybe time for a correction  Technical analysis for GOOG in this video gives us a better idea of what may happen NotFinancialAdvice Google stocks stockmarket ta technicalanalysis GOOG  httpstcomkiR2fs6K5,tonycarrera,"[u'Alphabet', u'NotFinancialAdvice', u'Google', u'stocks', u'stockmarket', u'ta', u'technicalanalysis', u'GOOG']",293
2020-02-17 19:31:38,WHATS BEHIND CURTAIN 3 Amazon and Microsoft have been reporting about their cloud business for years Now Google is finally giving us a first peek httpstcozcsygso28t google cloud GCP alphabet googlecloud,horovits,"[u'google', u'cloud', u'GCP', u'alphabet', u'googlecloud']",1410
2020-02-17 19:23:57,AOC chief executive says abuse redress scheme carries insolvency risks for sports alphabet abc australia abcaustralia Property PropertyInvestment DavidQuinn httpstcogPCMbjE4hx,HelpMeBuyMyHom1,"[u'alphabet', u'abc', u'australia', u'abcaustralia', u'Property', u'PropertyInvestment', u'DavidQuinn']",2
2020-02-17 19:15:20,Over 850 pages httpstcoQRvA4t7TzK writingpractice tracing dottodot color worksheet alphabet numbers kindergarten preschool homeschool letternumberrecognition educationalprintables Etsy httpstcosJdEpFTmm4,Rae_didit,"[u'writingpractice', u'tracing', u'dottodot', u'color', u'worksheet', u'alphabet', u'numbers', u'kindergarten', u'preschool', u'homeschool', u'letternumberrecognition', u'educationalprintables', u'Etsy']",102
